,bhk,type,area,price,region
30575,5,Apartment,3099,62400000.0,Andheri East
30576,2,Apartment,819,11800000.0,Vikhroli
30580,2,Apartment,1150,20500000.0,Powai
30581,1,Apartment,456,15000000.0,Powai
30582,1,Apartment,1350,21500000.0,Powai
30586,2,Apartment,850,17000000.0,Powai
30587,3,Apartment,1091,37700000.0,Powai
30588,1,Apartment,530,4100000.0,Vasai
30589,1,Apartment,750,4500000.0,Vasai
30591,2,Apartment,870,9900000.0,Thane West
30593,2,Apartment,720,13899999.999999998,Goregaon East
30594,2,Apartment,980,16299999.999999998,Goregaon East
30595,1,Apartment,620,4000000.0,Vasai
30597,2,Apartment,885,22500000.0,Goregaon West
30599,3,Apartment,1440,18500000.0,Goregaon West
30600,1,Apartment,585,9800000.0,Goregaon West
30601,3,Apartment,1650,35000000.0,Malad West
30602,1,Apartment,650,4000000.0,Vasai
30603,3,Apartment,1380,25000000.0,Jogeshwari East
30604,2,Apartment,975,8800000.0,Bhayandar East
30605,3,Apartment,1900,59900000.0,Dadar East
30610,4,Apartment,3000,88900000.0,Dadar East
30611,3,Apartment,2300,69900000.0,Dadar East
30616,2,Apartment,1060,8750000.0,Bhayandar East
30619,1,Apartment,760,7200000.0,Bhayandar East
30620,4,Apartment,2400,79900000.0,Dadar East
30621,1,Apartment,771,4800000.0,Vasai
30623,4,Apartment,1800,39000000.0,Malad West
30624,1,Apartment,665,8500000.0,Kandivali East
30625,3,Apartment,1307,30000000.0,Malad West
30630,3,Apartment,1800,41000000.0,Chembur
30633,2,Apartment,950,26500000.0,Chembur
30638,2,Apartment,856,18500000.0,Chembur
30645,1,Apartment,513,9000000.0,Kandivali East
30646,2,Apartment,912,22000000.0,Andheri East
30647,2,Apartment,676,12500000.0,Kandivali East
30664,1,Apartment,605,9000000.0,Kandivali East
30670,2,Apartment,859,20000000.0,Malad East
30673,2,Apartment,950,39000000.0,Andheri West
30674,3,Apartment,1450,38500000.0,Andheri West
30677,2,Apartment,1000,40000000.0,Andheri West
30678,2,Apartment,900,33000000.0,Juhu
30681,1,Apartment,400,1015000.0,Neral
30685,2,Apartment,1030,12000000.0,Thane West
30693,2,Apartment,900,47500000.0,Bandra West
30694,3,Apartment,1200,55000000.0,Khar
30695,1,Apartment,550,25000000.0,Bandra West
30698,1,Apartment,550,9000000.0,Malad West
30699,1,Apartment,540,8300000.0,Kandivali West
30700,1,Apartment,540,8200000.0,Kandivali West
30704,2,Apartment,830,16500000.0,Kandivali West
30705,2,Apartment,530,11000000.0,Bhayandar East
30706,3,Apartment,1050,19600000.0,Malad West
30708,3,Apartment,1030,20000000.0,Kanjurmarg
30710,2,Villa,2000,13500000.0,Neral
30733,1,Apartment,700,5499000.0,Mira Road East
30734,4,Villa,3500,21000000.0,Neral
30735,4,Apartment,2000,34500000.0,Goregaon West
30738,2,Apartment,870,9200000.0,Thane West
30739,4,Apartment,3000,75000000.0,Wadala
30742,3,Apartment,1400,38000000.0,Andheri West
30743,2,Apartment,1085,21000000.0,Jogeshwari East
30744,1,Apartment,540,5500000.0,Thane West
30745,1,Apartment,450,4800000.0,Thane West
30746,1,Apartment,540,6100000.0,Thane West
30747,3,Apartment,999,20900000.0,Kandivali West
30751,2,Apartment,763,16000000.0,Kandivali West
30753,3,Apartment,899,18800000.0,Kandivali West
30755,4,Apartment,2500,57000000.0,Wadala
30756,3,Apartment,2000,47000000.0,Wadala
30757,2,Apartment,870,6500000.0,Vasai
30758,2,Apartment,1000,8000000.0,Vasai
30760,2,Apartment,800,22500000.0,Santacruz East
30764,3,Apartment,1480,35000000.0,Bandra Kurla Complex
30765,3,Apartment,1500,72000000.0,Bandra East
30766,2,Apartment,800,22000000.0,Bandra East
30776,2,Apartment,1081,6800000.0,Vasai
30780,1,Apartment,725,4700000.0,Vasai
30781,1,Apartment,620,4500000.0,Vasai
30782,4,Apartment,1400,56000000.0,Andheri West
30783,3,Apartment,1300,43500000.0,Andheri West
30784,2,Apartment,800,21000000.0,Santacruz East
30786,1,Apartment,500,9500000.0,Andheri West
30787,1,Apartment,580,4290000.0,Thane West
30789,2,Apartment,800,6400000.0,Thane West
30790,1,Apartment,667,4390000.0,Thane West
30792,2,Apartment,860,13000000.0,Thane West
30795,2,Apartment,1060,14000000.0,Malad East
30796,2,Apartment,990,13500000.0,Thane West
30797,1,Apartment,640,7700000.0,Thane West
30798,2,Apartment,950,15500000.0,Airoli
30799,1,Apartment,634,5599000.0,Thane West
30801,1,Studio Apartment,600,15000000.0,Goregaon West
30803,1,Apartment,645,5199000.0,Thane West
