,bhk,type,locality,area,price,region,status,age
6597,2,Apartment,ACME Ozone,1135,120.0,Outskirts,Ready to move,Resale
6598,3,Apartment,ACME Ozone,1139,120.0,Outskirts,Ready to move,Resale
6599,3,Apartment,ACME Ozone,1532,155.0,Outskirts,Ready to move,Resale
6600,2,Apartment,ACME Ozone,1099,118.0,Outskirts,Ready to move,Resale
6604,1,Apartment,Sarvoday Onyx,715,50.0,Eastern Suburbs,Ready to move,New
6606,2,Apartment,Globe Paradise,1120,100.0,Outskirts,Ready to move,New
6607,1,Apartment,Honest Kalyan Nagari,660,37.0,Eastern Suburbs,Ready to move,New
6608,2,Apartment,Sarvoday Patwardhan Baug,825,53.0,Outskirts,Ready to move,New
6610,1,Apartment,Konark Garden Phase IV,685,26.68,Outskirts,Ready to move,New
6611,1,Apartment,Vedant Vedant Residency,610,22.0,Outskirts,Ready to move,New
6612,2,Apartment,Deeplaxmi Shreeji Paraiso ,1000,53.82,Outskirts,Ready to move,New
6613,2,Apartment,Konark Garden Phase IV,685,27.68,Outskirts,Ready to move,New
6614,1,Apartment,Reputed Builder Jay Shastri Nagar Housing Limited,500,77.0,Eastern Suburbs,Ready to move,Resale
6615,1,Apartment,Srishti Mayuresh Srishti,585,89.0,Eastern Suburbs,Ready to move,Resale
6616,2,Apartment,Ashar Maple Phase 1 Building No 2,950,152.0,Eastern Suburbs,Ready to move,Resale
6617,1,Apartment,Srishti Solitaire,650,106.0,Eastern Suburbs,Ready to move,Resale
6618,1,Apartment,Srishti Oasis,600,89.0,Eastern Suburbs,Ready to move,Resale
6619,2,Apartment,Srishti Elegance,700,120.0,Eastern Suburbs,Ready to move,New
6620,1,Apartment,Srishti Elegance,550,80.0,Eastern Suburbs,Ready to move,New
6621,2,Apartment,Srishti Solitaire,950,158.0,Eastern Suburbs,Ready to move,Resale
6622,2,Apartment,Srishti Mayuresh Srishti,800,145.0,Eastern Suburbs,Ready to move,Resale
6623,1,Apartment,Reputed Builder Garden View,700,75.0,Navi Mumbai & Beyond,Ready to move,Resale
6628,2,Apartment,Reputed Builder Senate,665,114.99999999999999,Western Suburbs,Ready to move,Resale
6629,2,Apartment,Aaron Shree Chamunda Harmony,1035,91.5,Eastern Suburbs,Ready to move,Resale
6631,2,Apartment,Ami Planet Venus,1050,75.0,Eastern Suburbs,Ready to move,Resale
6632,1,Apartment,Rameshwar Niwas,680,48.0,Eastern Suburbs,Ready to move,Resale
6633,3,Apartment,Metro Metro Tulsi Heights,3000,145.0,Navi Mumbai & Beyond,Ready to move,Resale
6635,2,Apartment,Marathon Nexzone Altis 2,1025,86.0,Navi Mumbai & Beyond,Ready to move,Resale
6636,2,Apartment,Reputed Builder Haware Green Park,764,63.0,Eastern Suburbs,Ready to move,Resale
6637,1,Apartment,Aaron Shree Chamunda Harmony,685,64.0,Eastern Suburbs,Ready to move,Resale
6638,2,Apartment,Ram Nagar Shanti Garden Sector 5 Bldg 9,970,73.0,Outskirts,Ready to move,Resale
6639,2,Apartment,Marathon Nextown,775,45.0,Outskirts,Ready to move,New
6640,1,Apartment,Shree Adinath Symphony,600,18.9,Navi Mumbai & Beyond,Ready to move,New
6642,2,Apartment,Reputed Builder Aditya Heights,1100,105.0,Navi Mumbai & Beyond,Ready to move,Resale
6643,2,Apartment,Hiranandani The Walk,700,110.00000000000001,Outskirts,Ready to move,Resale
6644,1,Apartment,Reputed Builder New Lilly,510,48.0,Outskirts,Ready to move,Resale
6645,2,Apartment,Rashmi Hetal,800,65.01,Outskirts,Ready to move,Resale
6646,3,Apartment,Spenta Alta Vista,1300,275.0,Eastern Suburbs,Ready to move,New
6647,2,Apartment,Raunak City Sector IV D2,600,36.0,Eastern Suburbs,Ready to move,Resale
6648,1,Apartment,Reputed Builder Sarvodaya Garden Co-operative Housing Society,625,55.0,Eastern Suburbs,Ready to move,Resale
6649,1,Apartment,Sai Satyam Residency Apartments,600,39.0,Eastern Suburbs,Ready to move,Resale
6650,2,Apartment,Madhav Sansar,927,65.0,Eastern Suburbs,Ready to move,Resale
6651,1,Apartment,Sai Satyam Homes,650,40.5,Eastern Suburbs,Ready to move,Resale
6652,1,Apartment,RNA NG Regency,610,65.0,Outskirts,Ready to move,Resale
6654,1,Apartment,Reputed Builder Shruti Park,512,60.0,Outskirts,Ready to move,Resale
6655,2,Apartment,Shree Tirupati Siddeshwar Gardens,720,90.0,Outskirts,Ready to move,Resale
6656,1,Apartment,Swaraj Homes Highland CHS,612,80.0,Outskirts,Ready to move,Resale
6657,1,Apartment,Rajesh White City,700,130.0,Western Suburbs,Ready to move,Resale
6658,2,Apartment,Rajesh White City,1300,260.0,Western Suburbs,Ready to move,Resale
6659,1,Apartment,Lokhandwala Spring Leaf,575,95.0,Western Suburbs,Ready to move,Resale
6660,1,Apartment,Tulsi Aangan,655,33.5,Outskirts,Ready to move,New
6661,2,Apartment,Jai Gurudeo Complex,1150,101.0,Eastern Suburbs,Ready to move,Resale
6662,2,Apartment,Ami Planet Venus,1150,96.0,Eastern Suburbs,Ready to move,Resale
6663,2,Apartment,SRB Gurudeo CHS,1075,95.0,Eastern Suburbs,Ready to move,Resale
6664,2,Apartment,Vub Group Veermaa Paradise,1125,95.0,Eastern Suburbs,Ready to move,Resale
6665,1,Apartment,Aaron Shree Chamunda Harmony,665,66.0,Eastern Suburbs,Ready to move,Resale
6666,2,Apartment,Tricity Luxuria,1090,95.0,Navi Mumbai & Beyond,Ready to move,Resale
6668,2,Apartment,SRB Gurudeo CHS,1170,85.0,Eastern Suburbs,Ready to move,Resale
6669,3,Apartment,Paradise Sai World City,1900,300.0,Navi Mumbai & Beyond,Ready to move,Resale
6670,1,Apartment,Platinum Palazzo,685,54.0,Eastern Suburbs,Ready to move,Resale
6671,2,Apartment,Shanti Hari Heritage,1260,104.0,Eastern Suburbs,Ready to move,Resale
6673,1,Apartment,Reputed Builder Chamunda Residency,665,56.0,Eastern Suburbs,Ready to move,Resale
6674,1,Apartment,Ami Planet Venus,655,56.0,Eastern Suburbs,Ready to move,Resale
6675,2,Apartment,Pooja White Flag,1150,83.0,Eastern Suburbs,Ready to move,Resale
6676,2,Apartment,Reputed Builder Sky Avenue Ltd,1150,80.0,Eastern Suburbs,Ready to move,Resale
6677,2,Apartment,K Nakrani Ashapura Regalia,1250,80.0,Eastern Suburbs,Ready to move,Resale
6678,1,Apartment,Resicom Sai Miracle,650,45.0,Eastern Suburbs,Ready to move,Resale
6679,1,Apartment,Sapphire Gods Gift,650,45.0,Navi Mumbai & Beyond,Ready to move,Resale
6680,1,Apartment,Platinum Palazzo,680,55.0,Eastern Suburbs,Ready to move,Resale
6682,2,Apartment,Giriraj Silverstar,1080,85.0,Eastern Suburbs,Ready to move,Resale
6683,2,Apartment,Swaraj Homes Balaji Niwas Apartments,1100,82.0,Eastern Suburbs,Ready to move,Resale
6684,2,Apartment,Reputed Builder Prabhu Shrine Kamothe,1150,82.0,Eastern Suburbs,Ready to move,Resale
6685,1,Apartment,Marathon Nexzone Triton 2,760,55.0,Navi Mumbai & Beyond,Ready to move,Resale
6687,2,Apartment,Lucky Dream Pearl,980,77.0,Navi Mumbai & Beyond,Ready to move,Resale
6688,3,Apartment,JP North Barcelona Wing D,1570,149.0,Outskirts,Ready to move,New
6690,1,Apartment,Suman Jitendra Tower,650,55.0,Navi Mumbai & Beyond,Ready to move,Resale
6691,2,Apartment,Reputed Builder Payal Heights,1150,120.0,Navi Mumbai & Beyond,Ready to move,Resale
6692,1,Apartment,Ecogreen Yash Avenue Co Operative Housing Society,650,70.0,Navi Mumbai & Beyond,Ready to move,Resale
6693,1,Apartment,Bhumiraj Woods,580,60.0,Navi Mumbai & Beyond,Ready to move,Resale
6694,2,Apartment,Reputed Builder Kharghar Shilp Valley,1150,92.0,Navi Mumbai & Beyond,Ready to move,Resale
6695,2,Apartment,Maitri Ocean,1100,122.0,Navi Mumbai & Beyond,Ready to move,Resale
6696,1,Apartment,Proviso Maitri Icon,650,58.0,Navi Mumbai & Beyond,Ready to move,Resale
6697,2,Apartment,Proviso Maitri Icon,1000,100.0,Navi Mumbai & Beyond,Ready to move,Resale
6699,2,Apartment,Reputed Builder Shiv Kalptaru Apartment,820,70.0,Eastern Suburbs,Ready to move,Resale
6700,1,Apartment,Marathon Nexzone Triton 2,760,54.0,Navi Mumbai & Beyond,Ready to move,Resale
6702,1,Apartment,Marathon Nexzone Triton 2,760,53.0,Navi Mumbai & Beyond,Ready to move,Resale
6707,3,Apartment,Paradise Sai Spring,1650,145.0,Navi Mumbai & Beyond,Ready to move,Resale
6708,3,Apartment,Reputed Builder Neelkanth Heights,1425,285.0,Outskirts,Ready to move,Resale
6709,3,Apartment,T Bhimjyani The Verraton,1100,200.0,Outskirts,Ready to move,Resale
6710,3,Apartment,Reputed Builder Eden Woods Complex,1600,180.0,Outskirts,Ready to move,Resale
6711,3,Apartment,ACME Ozone Phase 2,1470,190.0,Outskirts,Ready to move,Resale
6714,2,Apartment,Om Shree Sai Woodside Meadows,830,58.5,Eastern Suburbs,Ready to move,New
6715,1,Apartment,Shivsai Bharat Residency A Wing,570,44.0,Eastern Suburbs,Ready to move,New
6716,1,Apartment,Om Shree Sai Woodside Meadows,645,43.0,Eastern Suburbs,Ready to move,New
6717,1,Apartment,Shree Laxmi Kailash Homes,600,43.0,Eastern Suburbs,Ready to move,New
6719,3,Apartment,Kalpataru Srishti,1050,138.0,Outskirts,Ready to move,Resale
6720,1,Apartment,Lodha Casa Bella Gold,588,33.0,Outskirts,Ready to move,Resale
6725,1,Apartment,Si Construction Shanza Height,645,52.0,Outskirts,Ready to move,Resale
6726,2,Apartment,RNA NG Silver Spring Phase III,900,97.5,Outskirts,Ready to move,Resale
6728,3,Apartment,Giriraj Horizon,1450,155.0,Navi Mumbai & Beyond,Ready to move,Resale
6729,2,Apartment,Concrete Sai Saakshaat,1250,155.0,Navi Mumbai & Beyond,Ready to move,Resale
6730,2,Apartment,Paradise Sai Crystals,1150,113.99999999999999,Navi Mumbai & Beyond,Ready to move,Resale
6732,3,Apartment,Krishh Celestia,1665,182.0,Navi Mumbai & Beyond,Ready to move,Resale
6733,3,Apartment,Reputed Builder Kasturi Heights,1700,200.0,Navi Mumbai & Beyond,Ready to move,Resale
6734,2,Apartment,Paradise Sai Mannat,1205,128.0,Navi Mumbai & Beyond,Ready to move,Resale
6735,1,Apartment,Shivshakti Greens,575,25.0,Outskirts,Ready to move,New
6744,3,Apartment,Varun Garden,1300,185.0,Outskirts,Ready to move,Resale
6745,3,Apartment,Cosmos Horizon,1600,200.0,Outskirts,Ready to move,Resale
6746,2,Apartment,Ashar Edge,900,160.0,Outskirts,Ready to move,Resale
6747,2,Apartment,Lokhandwala Spring Grove,1120,185.0,Western Suburbs,Ready to move,Resale
6748,3,Apartment,Reputed Builder Vithoba Kripa CHS,1100,70.0,Eastern Suburbs,Ready to move,Resale
6750,1,Apartment,Krushan Dham Krushna Kunj,644,29.0,Navi Mumbai & Beyond,Ready to move,Resale
6751,3,Apartment,Ajmera Bhakti Park,1320,260.0,Central Mumbai,Ready to move,Resale
6752,1,Apartment,Ajmera Bhakti Park,585,115.99999999999999,Central Mumbai,Ready to move,Resale
6753,2,Apartment,Ajmera Bhakti Park,960,170.0,Central Mumbai,Ready to move,Resale
6754,2,Apartment,Ajmera Bhakti Park,1350,293.0,Central Mumbai,Ready to move,Resale
6755,2,Apartment,Marathon Nexzone Altis 2,825,56.0,Navi Mumbai & Beyond,Ready to move,Resale
6756,2,Apartment,Reputed Builder Soham,1070,114.99999999999999,Navi Mumbai & Beyond,Ready to move,Resale
6757,2,Apartment,Innovative R K Residency,1010,136.0,Outskirts,Ready to move,Resale
6758,1,Apartment,Reputed Builder Soham,658,76.0,Navi Mumbai & Beyond,Ready to move,Resale
6759,1,Apartment,Reputed Builder Soham,654,76.0,Navi Mumbai & Beyond,Ready to move,Resale
6761,1,Apartment,Reputed Builder Sapphire CHS,650,62.0,Central Mumbai,Ready to move,Resale
6762,3,Apartment,Sheth Vasant Lawns,1350,195.0,Outskirts,Ready to move,Resale
6763,3,Apartment,Sheth Vasant Lawns,1300,194.0,Outskirts,Ready to move,Resale
6764,2,Apartment,Reputed Builder Cosmos Paradise,1000,111.00000000000001,Outskirts,Ready to move,Resale
6765,2,Apartment,Reputed Builder Cosmos Paradise,1000,110.00000000000001,Outskirts,Ready to move,Resale
6766,2,Apartment,Reputed Builder hill residesidency,1450,150.0,Navi Mumbai & Beyond,Ready to move,Resale
6768,3,Apartment,Swaraj Homes Shree Balaji Krupa CHS,2400,275.0,Navi Mumbai & Beyond,Ready to move,Resale
6769,2,Apartment,Godrej Tranquil,1160,185.0,Western Suburbs,Ready to move,New
6772,1,Apartment,Reputed Builder Spring Grove Uno Society,400,70.0,Western Suburbs,Ready to move,Resale
6773,2,Apartment,Godrej Tranquil,1157,182.0,Western Suburbs,Ready to move,New
6774,2,Apartment,Godrej Tranquil,1157,179.0,Western Suburbs,Ready to move,New
6775,2,Apartment,Godrej Tranquil,1090,178.0,Western Suburbs,Ready to move,New
6776,1,Apartment,Raj Laxmi Shreeji Iconic,640,30.22,Outskirts,Ready to move,New
6777,1,Apartment,JP North Barcelona,735,76.0,Outskirts,Ready to move,New
6778,4,Apartment,JP North Barcelona Wing D,1152,118.0,Outskirts,Ready to move,New
6779,2,Apartment,JK IRIS,980,87.5,Outskirts,Ready to move,New
6780,2,Apartment,JP JP North Phase 5 Euphoria,995,106.0,Outskirts,Ready to move,New
6781,2,Apartment,Amar Vinay Heritage,1040,93.7,Outskirts,Ready to move,New
6782,2,Apartment,JP North Barcelona Wing D,1050,115.99999999999999,Outskirts,Ready to move,New
6783,1,Apartment,Strawberry Onyx,715,61.0,Outskirts,Ready to move,New
6784,2,Apartment,Shree Nidhi Heights B Wing,1110,85.3,Outskirts,Ready to move,New
6785,1,Apartment,Shree Adinath Symphony,585,18.0,Navi Mumbai & Beyond,Ready to move,New
6786,1,Apartment,Shree Adinath Symphony,585,18.99,Navi Mumbai & Beyond,Ready to move,New
6788,2,Apartment,Balaji Heights,1365,150.0,Navi Mumbai & Beyond,Ready to move,Resale
6789,1,Apartment,Siddhi Highland Park,690,75.0,Outskirts,Ready to move,Resale
6790,2,Apartment,Lodha Paradise,810,110.00000000000001,Outskirts,Ready to move,Resale
6791,3,Apartment,Shree Tirupati Riviera,1135,175.0,Outskirts,Ready to move,Resale
6793,1,Apartment,UK Iridium,490,79.0,Western Suburbs,Ready to move,New
6797,3,Apartment,Kanakia Samarpan,1000,192.0,Western Suburbs,Ready to move,Resale
6798,2,Apartment,Shapoorji Pallonji Sarova,800,119.0,Western Suburbs,Ready to move,Resale
6799,1,Apartment,Shree Adinath Symphony,585,17.05,Navi Mumbai & Beyond,Ready to move,New
6801,3,Apartment,Gopal Krishna Krishna Square,1300,93.0,Eastern Suburbs,Ready to move,New
6802,1,Apartment,Lodha Palava Lakeshore Greens,650,35.0,Outskirts,Ready to move,Resale
6803,2,Apartment,Tharwani Rosewood,962,140.0,Navi Mumbai & Beyond,Ready to move,Resale
6804,2,Apartment,Mahaavir Heritage,1070,130.0,Navi Mumbai & Beyond,Ready to move,Resale
6805,2,Apartment,Paradise Sai Jewels,1250,120.0,Navi Mumbai & Beyond,Ready to move,Resale
6806,3,Apartment,Paradise Sai Mannat,2000,270.0,Navi Mumbai & Beyond,Ready to move,Resale
6807,2,Apartment,Shankheshwar Heights,820,95.0,Outskirts,Ready to move,Resale
6808,2,Apartment,Swastik Windsor Heights,1255,150.0,Navi Mumbai & Beyond,Ready to move,Resale
6809,2,Apartment,Laxmi Aangan,1170,70.0,Navi Mumbai & Beyond,Ready to move,Resale
6810,1,Apartment,Dream Emerald,720,57.0,Navi Mumbai & Beyond,Ready to move,Resale
6812,3,Apartment,Sheth Avalon Phase 2,1950,400.0,Outskirts,Ready to move,Resale
6813,2,Apartment,Reputed Builder Raj Residency CHS,1100,114.99999999999999,Navi Mumbai & Beyond,Ready to move,Resale
6814,2,Apartment,Crescent Heights,1380,110.00000000000001,Navi Mumbai & Beyond,Ready to move,Resale
6816,1,Apartment,Reputed Builder Spring Grove Uno Society,400,72.0,Western Suburbs,Ready to move,Resale
6817,3,Apartment,Reputed Builder Hyde Park Premium CHS Ltd E1 E2 Buildings,1500,175.0,Outskirts,Ready to move,Resale
6818,1,Apartment,SF Construction Trimurti Pride,680,53.0,Eastern Suburbs,Ready to move,Resale
6819,2,Apartment,Lodha Casa Bella Gold,864,54.1,Outskirts,Ready to move,Resale
6820,2,Apartment,Lodha Exotica,1593,87.5,Outskirts,Ready to move,Resale
6821,3,Apartment,Lodha Casa Rio,1367,75.2,Outskirts,Ready to move,Resale
6823,2,Apartment,Reputed Builder Casa Rio Viva,909,52.1,Outskirts,Ready to move,Resale
6824,2,Apartment,Lodha Exotica,1593,96.0,Outskirts,Ready to move,Resale
6825,2,Apartment,Vub Group Veermaa Paradise,1150,85.0,Eastern Suburbs,Ready to move,Resale
6826,1,Apartment,SKD Pinnacolo And Pinnacolo NX,725,63.5,Outskirts,Ready to move,New
6827,1,Apartment,Sanghvi S3 Skyrise,708,61.3,Outskirts,Ready to move,New
6828,1,Apartment,JP North Phase 6 Alexa,795,66.4,Outskirts,Ready to move,New
6829,1,Apartment,Raj Akshay,690,62.5,Outskirts,Ready to move,New
6830,1,Apartment,JP Codename Dream Home Tower B,710,71.0,Outskirts,Ready to move,New
6831,2,Apartment,Sanghvi S3 Skyrise,1015,91.75,Outskirts,Ready to move,New
6834,3,Apartment,Paradise Sai World City,1729,170.0,Navi Mumbai & Beyond,Ready to move,New
6835,2,Apartment,Paradise Sai World City,1264,108.0,Navi Mumbai & Beyond,Ready to move,New
6836,3,Apartment,Windsor Garden Enclave,1850,229.99999999999997,Outskirts,Ready to move,Resale
6837,1,Apartment,Swaraj Homes New Rachana Park,500,57.0,Outskirts,Ready to move,Resale
6838,2,Apartment,Larkins Pride Palms,750,125.0,Outskirts,Ready to move,Resale
6839,2,Apartment,Highland Twinkle Tower,910,110.00000000000001,Outskirts,Ready to move,Resale
6840,2,Apartment,Saptashree Heights,800,118.0,Outskirts,Ready to move,Resale
6841,2,Apartment,Siddhi Highland Park,960,110.00000000000001,Outskirts,Ready to move,Resale
6842,2,Apartment,V R Supernal Garden,900,120.0,Outskirts,Ready to move,Resale
6843,1,Apartment,Siddhi Highland Park,600,78.0,Outskirts,Ready to move,Resale
6844,3,Apartment,Vijay Annex,1205,130.0,Outskirts,Ready to move,Resale
6845,1,Apartment,Siddhi Highland Gardens,540,78.0,Outskirts,Ready to move,Resale
6846,3,Apartment,Paradise Sai Miracle,1725,175.0,Navi Mumbai & Beyond,Ready to move,Resale
6847,2,Apartment,Kesar Symphony,1200,135.0,Navi Mumbai & Beyond,Ready to move,Resale
6848,3,Apartment,Gajra Bhoomi Heights,1600,180.0,Navi Mumbai & Beyond,Ready to move,Resale
6852,2,Apartment,Rashmi Hetal,900,78.0,Outskirts,Ready to move,Resale
6853,2,Apartment,Westin Ellora Heights,900,84.0,Outskirts,Ready to move,Resale
6854,2,Apartment,Mahaveer Heavens Phase I,905,70.0,Eastern Suburbs,Ready to move,Resale
6855,3,Apartment,Ajmera Bhakti Park,1315,265.0,Central Mumbai,Ready to move,Resale
6856,2,Apartment,Mahindra Roots,1200,190.0,Western Suburbs,Ready to move,New
6857,2,Apartment,Sanghvi Evana,850,325.0,Central Mumbai,Ready to move,Resale
6858,3,Apartment,Swaraj Homes Heera Panna Apartment,1750,1100.0,Central Mumbai,Ready to move,Resale
6861,1,Apartment,Shree JP Golden City Complex,690,68.0,Outskirts,Ready to move,Resale
6869,2,Apartment,Sahakar Shree Nidhi Sahakar Heights,1070,91.0,Outskirts,Ready to move,New
6871,2,Apartment,Shree Sai Shweta Heights,1300,112.99999999999999,Outskirts,Ready to move,New
6874,1,Apartment,Raj Heritage,750,68.0,Outskirts,Ready to move,New
6885,1,Apartment,Sahakar Shree Nidhi Sahakar Heights,750,62.0,Outskirts,Ready to move,New
6886,1,Apartment,Lodha Miraroad Tower 1 And Tower 2,730,76.5,Outskirts,Ready to move,Resale
6887,2,Apartment,SKD Pinnacolo And Pinnacolo NX,1050,107.0,Outskirts,Ready to move,Resale
6888,2,Apartment,SKD Pinnacolo And Pinnacolo NX,1050,104.0,Outskirts,Ready to move,Resale
6889,2,Apartment,JP North Barcelona,1100,99.0,Outskirts,Ready to move,Resale
6890,1,Apartment,SKD Pinnacolo NX,760,68.0,Outskirts,Ready to move,Resale
6892,1,Apartment,Strawberry The Address,730,65.0,Outskirts,Ready to move,Resale
6893,1,Apartment,JP Codename Dream Home Tower B,705,65.0,Outskirts,Ready to move,New
6894,1,Apartment,JP Codename HOTCAKE,700,64.0,Outskirts,Ready to move,Resale
6896,1,Apartment,RNA NG Ocean Pearl,710,60.0,Outskirts,Ready to move,New
6897,1,Apartment,Salasar Exotica I,730,65.0,Outskirts,Ready to move,Resale
6908,2,Apartment,JP Codename HOTCAKE,990,84.0,Outskirts,Ready to move,Resale
6909,2,Apartment,Umiya Oasis,1050,87.5,Outskirts,Ready to move,Resale
6910,1,Apartment,JP Codename Dream Home Tower B,705,66.5,Outskirts,Ready to move,Resale
6911,2,Apartment,RNA NG Ocean Pearl,1050,81.0,Outskirts,Ready to move,New
6914,2,Apartment,Reputed Builder Siyon Homes,1300,94.0,Eastern Suburbs,Ready to move,Resale
6915,1,Apartment,Dharti Sai Archana,650,64.0,Eastern Suburbs,Ready to move,Resale
6916,1,Apartment,Amardeep Anutham,600,122.0,Eastern Suburbs,Ready to move,New
6917,2,Apartment,Sai Raj Paradise,1010,75.0,Navi Mumbai & Beyond,Ready to move,Resale
6918,2,Apartment,Reputed Builder Vasudev Complex,900,98.0,Outskirts,Ready to move,Resale
6921,2,Apartment,Tharwani Heritage,1150,122.0,Navi Mumbai & Beyond,Ready to move,Resale
6922,2,Apartment,Meena Meena Residency,1150,90.0,Navi Mumbai & Beyond,Ready to move,Resale
6923,3,Apartment,Tricity Pristine,1400,150.0,Navi Mumbai & Beyond,Ready to move,Resale
6924,2,Apartment,Paradise Sai Mannat,1150,128.0,Navi Mumbai & Beyond,Ready to move,Resale
6926,3,Apartment,Devkrupa Dev Prasad Complex,1500,120.0,Navi Mumbai & Beyond,Ready to move,Resale
6927,2,Apartment,BSEL Infrastructure Realty Ltd Kasturi Villa,1210,125.0,Navi Mumbai & Beyond,Ready to move,Resale
6928,3,Apartment,Kesar Gardens,1400,165.0,Navi Mumbai & Beyond,Ready to move,Resale
6929,2,Apartment,Mahaavir Heritage,1200,125.0,Navi Mumbai & Beyond,Ready to move,Resale
6932,2,Apartment,Prajapati Lawns,1150,125.0,Navi Mumbai & Beyond,Ready to move,Resale
6967,1,Apartment,Shakti Sai Srushti,655,40.5,Eastern Suburbs,Ready to move,New
6969,3,Apartment,Reputed Builder Satyam Shivam Apartment,1380,235.0,Western Suburbs,Ready to move,Resale
6970,4,Apartment,Shelter Shelter Park,2000,350.0,Navi Mumbai & Beyond,Ready to move,Resale
6971,4,Apartment,Siddhi Grandeur,3200,425.0,Navi Mumbai & Beyond,Ready to move,Resale
6974,1,Apartment,JP Codename Dream Home Tower C,565,65.0,Outskirts,Ready to move,New
6975,2,Apartment,JP North Barcelona Wing D,726,125.0,Outskirts,Ready to move,New
6976,1,Apartment,Reputed Builder Saki Vihar Complex,750,118.0,Central Mumbai,Ready to move,Resale
6977,1,Apartment,Paradise Sai Riverdale,690,55.0,Navi Mumbai & Beyond,Ready to move,Resale
6978,1,Apartment,Shree Sawan Avenue 2,642,40.0,Navi Mumbai & Beyond,Ready to move,Resale
6979,4,Apartment,Lodha Luxuria Priva,2400,400.0,Outskirts,Ready to move,Resale
6982,1,Apartment,Raj Laxmi Shreeji Iconic,580,28.04,Outskirts,Ready to move,New
6987,2,Apartment,Ajmera Bhakti Park,965,193.0,Central Mumbai,Ready to move,Resale
6989,2,Apartment,Elegant Olympia,980,82.0,Navi Mumbai & Beyond,Ready to move,Resale
6990,2,Apartment,S H Grand Arena,1050,98.0,Navi Mumbai & Beyond,Ready to move,Resale
6991,4,Apartment,Nirmal Lifestyle Residency CHS,1710,290.0,Eastern Suburbs,Ready to move,Resale
6993,1,Apartment,Galaxy Nine Galaxy,710,68.0,Outskirts,Ready to move,Resale
6995,2,Apartment,Sataym Madhavi Residency,1350,111.00000000000001,Navi Mumbai & Beyond,Ready to move,Resale
7000,2,Apartment,Lodha Aura,1000,367.0,Central Mumbai,Ready to move,New
7001,2,Apartment,Lodha Dioro,925,275.0,Central Mumbai,Ready to move,Resale
7002,2,Apartment,Lodha Dioro,1377,273.0,Central Mumbai,Ready to move,Resale
7003,2,Apartment,Lodha Elisium,1377,280.0,Central Mumbai,Ready to move,Resale
7004,2,Apartment,Lodha Elisium,1377,285.0,Central Mumbai,Ready to move,Resale
7005,3,Apartment,Lodha Elisium,1701,400.0,Central Mumbai,Ready to move,Resale
7007,2,Apartment,Lodha Dioro,1377,275.0,Central Mumbai,Ready to move,Resale
7008,3,Apartment,Lodha Elisium,1086,360.0,Central Mumbai,Ready to move,Resale
7009,3,Apartment,Lodha Elisium,1701,390.0,Central Mumbai,Ready to move,Resale
7011,3,Apartment,Lodha Elisium,1701,394.0,Central Mumbai,Ready to move,Resale
7012,3,Apartment,Lodha Elisium,1701,310.0,Central Mumbai,Ready to move,Resale
7013,1,Apartment,Lodha Enchante,637,170.0,Central Mumbai,Ready to move,Resale
7014,2,Apartment,Lodha Dioro,1377,265.0,Central Mumbai,Ready to move,Resale
7015,3,Apartment,Lodha Dioro,1701,385.0,Central Mumbai,Ready to move,Resale
7016,4,Apartment,Lodha Dioro,1377,269.0,Central Mumbai,Ready to move,Resale
7017,1,Apartment,Lodha Enchante,730,157.0,Central Mumbai,Ready to move,Resale
7018,3,Apartment,Lodha New Cuffe Parade Lodha Estrella,1330,395.0,Central Mumbai,Ready to move,Resale
7019,3,Apartment,Lodha Dioro,1086,330.0,Central Mumbai,Ready to move,Resale
7020,2,Apartment,Lodha Dioro,955,270.0,Central Mumbai,Ready to move,Resale
7021,3,Apartment,Reputed Builder Tolaram CHSL,1000,180.0,Eastern Suburbs,Ready to move,Resale
7034,2,Apartment,Hetal Infra Riddhi Siddhi,1020,82.0,Outskirts,Ready to move,New
7035,2,Apartment,PNK Imperial Heights,1030,88.0,Outskirts,Ready to move,Resale
7037,1,Apartment,Raj Akshay,710,64.0,Outskirts,Ready to move,Resale
7038,2,Apartment,Kalpataru Srishti Namaah,990,91.5,Outskirts,Ready to move,Resale
7039,2,Apartment,Sanghvi Ecocity Phase 3,1045,84.0,Outskirts,Ready to move,New
7040,2,Apartment,MICL Aradhya D And E Tower,1045,107.0,Outskirts,Ready to move,Resale
7041,2,Apartment,MICL Aradhya D And E Tower,1045,107.0,Outskirts,Ready to move,New
7062,2,Apartment,Techno Vision Vivanta Marvel,1050,93.0,Outskirts,Ready to move,Resale
7075,1,Apartment,Hetal Infra Riddhi Siddhi,715,62.0,Outskirts,Ready to move,Resale
7076,2,Apartment,Cosmos Horizon,1050,145.0,Outskirts,Ready to move,Resale
7078,2,Apartment,Reputed Builder Dhun Building,1250,300.0,Central Mumbai,Ready to move,Resale
7082,4,Apartment,Ajmera Zeon,3285,785.0,Central Mumbai,Ready to move,Resale
7083,2,Apartment,Lokhandwala Sierra Towers,1050,158.0,Western Suburbs,Ready to move,Resale
7086,2,Apartment,Yuvraj Developers Bonzer Residency,1100,75.0,Navi Mumbai & Beyond,Ready to move,Resale
7091,2,Apartment,Kranti Mayank Residency,1065,65.0,Navi Mumbai & Beyond,Ready to move,Resale
7092,1,Apartment,Prince Alisha Paradise,650,46.0,Navi Mumbai & Beyond,Ready to move,Resale
