,bhk,type,locality,area,price,region,status,age
38423,2,Apartment,Life Vishwa Highlands,851,77.0,Eastern Suburbs,Ready to move,Resale
38424,3,Apartment,Cosmos Classique,1280,144.0,Outskirts,Ready to move,Resale
38425,3,Apartment,Triveni Bhoomi Tower,1450,130.0,Eastern Suburbs,Ready to move,Resale
38426,3,Apartment,Reputed Builder Maitri Street,1450,114.99999999999999,Eastern Suburbs,Ready to move,Resale
38427,2,Apartment,Vihang Hills,921,65.5,Outskirts,Ready to move,Resale
38430,2,Apartment,Vihang Hills,905,64.99,Outskirts,Ready to move,Resale
38433,2,Apartment,Srishti Harmony,828,200.0,Central Mumbai,Ready to move,Resale
38442,1,Apartment,Crystal Fiama NX,625,44.5,Outskirts,Ready to move,Resale
38445,1,Apartment,Reputed Builder Silver Park Apartments,625,53.0,Eastern Suburbs,Ready to move,Resale
38446,3,Apartment,Nahar Yarrow Yucca Vinca,1315,275.0,Central Mumbai,Ready to move,Resale
38447,2,Apartment,Hiranandani Garden Norita,1050,360.0,Central Mumbai,Ready to move,Resale
38448,1,Apartment,Atul Blue Monarch,650,130.0,Central Mumbai,Ready to move,Resale
38449,3,Apartment,Runwal Elina,1038,227.99999999999997,Central Mumbai,Ready to move,Resale
38452,1,Apartment,Puraniks Hometown 1,590,45.0,Outskirts,Ready to move,Resale
38453,1,Apartment,Lodha Casa Ultima,612,74.0,Outskirts,Ready to move,Resale
38454,3,Apartment,Valencia And Mishal One Marina,1490,505.0,Central Mumbai,Ready to move,Resale
38455,4,Apartment,DB Woods,2110,550.0,Western Suburbs,Ready to move,Resale
38457,2,Apartment,Lok Raunak Phase I,1070,140.0,Central Mumbai,Ready to move,Resale
38458,3,Apartment,Reputed Builder Colombia Apartment,1250,550.0,Western Suburbs,Ready to move,Resale
38459,2,Apartment,Reputed Builder Haware Green Park,1150,80.0,Eastern Suburbs,Ready to move,Resale
38478,2,Apartment,Prasham Vishal 2,525,132.0,Western Suburbs,Ready to move,Resale
38479,2,Apartment,Reputed Builder Ganesh Krupa,692,165.0,Western Suburbs,Ready to move,Resale
38481,2,Apartment,Ethics Infra Ashwini Residency Borivali Ashwini CHSL,698,175.0,Western Suburbs,Ready to move,Resale
38482,2,Apartment,Bhatia Esspee Tower,810,165.0,Western Suburbs,Ready to move,Resale
38483,3,Apartment,Reputed Builder Gokul Nagari I A And B CHSL,1350,250.0,Western Suburbs,Ready to move,Resale
38487,1,Apartment,Reputed Builder New Mhada Complex,625,47.5,Outskirts,Ready to move,Resale
38488,2,Apartment,Wadhwa Atmosphere O2,980,187.0,Eastern Suburbs,Ready to move,Resale
38490,2,Apartment,Hiranandani Zen Atlantis,1260,335.0,Central Mumbai,Ready to move,Resale
38491,3,Apartment,K Raheja Interface Heights,1450,290.0,Western Suburbs,Ready to move,Resale
38495,2,Apartment,Omkar Ananta,950,132.0,Western Suburbs,Ready to move,Resale
38496,2,Apartment,A And O F Residences,930,156.0,Western Suburbs,Ready to move,New
38497,2,Apartment,Reputed Builder Runwal Pride,968,185.0,Eastern Suburbs,Ready to move,Resale
38498,2,Apartment,CCI Rivali Park WinterGreen,900,229.99999999999997,Western Suburbs,Ready to move,Resale
38499,2,Apartment,Reputed Builder Prathmesh Vihar CHS,756,140.0,Western Suburbs,Ready to move,Resale
38502,2,Apartment,Larkins Pride Palms,1450,160.0,Outskirts,Ready to move,Resale
38503,2,Apartment,SKD Pinnacolo NX,1060,104.0,Outskirts,Ready to move,New
38504,3,Apartment,SKD Pinnacolo NX,1400,131.0,Outskirts,Ready to move,New
38505,3,Apartment,Amisha Empire Phase I,1200,114.99999999999999,Outskirts,Ready to move,New
38508,1,Apartment,Vihang Valley,510,45.0,Outskirts,Ready to move,Resale
38509,2,Apartment,Reputed Builder Vijay Galaxy tower 2,967,110.00000000000001,Outskirts,Ready to move,Resale
38515,2,Apartment,DSS Mahavir Kalpavruksha,780,75.0,Outskirts,Ready to move,Resale
38516,2,Apartment,Dosti Imperia,1250,140.0,Outskirts,Ready to move,Resale
38517,1,Apartment,Vihang Hills,560,47.0,Outskirts,Ready to move,Resale
38518,1,Apartment,Puraniks Puraniks City Phase 1,600,54.0,Outskirts,Ready to move,Resale
38519,1,Apartment,Shree Saibaba Ashok Nagar,610,65.0,Outskirts,Ready to move,Resale
38522,1,Apartment,Salangpur Salasar Aashirwad D Wing,700,64.0,Outskirts,Ready to move,Resale
38523,2,Apartment,Reputed Builder Ashok Avenue,996,180.0,Central Mumbai,Ready to move,Resale
38524,2,Apartment,Reputed Builder Hillside Towers,1100,206.99999999999997,Central Mumbai,Ready to move,Resale
38525,2,Apartment,Reputed Builder Shimpoli Niranjan Housing,750,165.0,Western Suburbs,Ready to move,Resale
38526,3,Apartment,Divine Space Ambrosia Apartment,1250,360.0,Western Suburbs,Ready to move,Resale
38527,2,Apartment,Westin Eksar Gurukripa CHS LTD,650,165.0,Western Suburbs,Ready to move,New
38528,3,Apartment,Lodha Codename Crown Jewel,1300,140.0,Outskirts,Ready to move,Resale
38530,3,Apartment,Reputed Builder Runwal Garden City Daffodil,956,175.0,Outskirts,Ready to move,Resale
38533,2,Apartment,Khade KIPL Morya,1050,114.99999999999999,Outskirts,Ready to move,Resale
38534,2,Apartment,Sheth Vasant Oasis Daffodil Bldg 7,925,229.99999999999997,Central Mumbai,Ready to move,Resale
38535,2,Apartment,Reputed Builder Arihant Plaza,850,69.0,Outskirts,Ready to move,Resale
38536,2,Apartment,Skyline Skyline Residency,690,70.0,Navi Mumbai & Beyond,Ready to move,New
38537,2,Apartment,Shree Krupa Harsh Neel,1020,64.0,Navi Mumbai & Beyond,Ready to move,New
38538,2,Apartment,VS Empire Estate,1150,70.0,Navi Mumbai & Beyond,Ready to move,New
38539,4,Apartment,JP Decks,2580,440.00000000000006,Western Suburbs,Ready to move,New
38540,3,Apartment,JP Decks,2120,361.0,Western Suburbs,Ready to move,New
38541,2,Apartment,JP Decks,1290,220.00000000000003,Western Suburbs,Ready to move,New
38546,3,Apartment,HDIL Premier Exotica,1673,195.0,Eastern Suburbs,Ready to move,Resale
38548,3,Apartment,NARANG REALTY And WADHWA GROUP Courtyard,1268,256.0,Outskirts,Ready to move,New
38549,3,Apartment,Prima Upper East 97,1290,350.0,Western Suburbs,Ready to move,New
38550,1,Apartment,Siddhi Highland Park,600,77.0,Outskirts,Ready to move,Resale
38552,2,Apartment,Lodha Casa Royale,792,80.5,Outskirts,Ready to move,Resale
38554,2,Apartment,Kanakia Challenger,960,165.0,Western Suburbs,Ready to move,Unknown
38555,2,Apartment,Sheth Vasant Sagar,860,145.0,Western Suburbs,Ready to move,Unknown
38556,2,Apartment,Lucent Fressia Ranibello,1150,135.0,Western Suburbs,Ready to move,Unknown
38557,2,Apartment,Thakur Vishnu Shivam Tower,1150,204.99999999999997,Western Suburbs,Ready to move,Unknown
38558,5,Apartment,Rizvi Oak,3800,450.0,Western Suburbs,Ready to move,Unknown
38578,2,Apartment,Arsiwala Essar Apex,975,49.99,Outskirts,Ready to move,Resale
38579,1,Apartment,Sumit Greendale NX,610,31.5,Outskirts,Ready to move,Resale
38580,1,Apartment,Bhoomi Acropolis 2,595,30.0,Outskirts,Ready to move,Resale
38583,4,Apartment,Hiranandani Gardens Glen Ridge,2200,1050.0,Central Mumbai,Ready to move,Resale
38591,1,Apartment,DSK DSK Harita,528,92.0,Western Suburbs,Ready to move,Resale
38592,1,Apartment,Reputed Builder Rose Garden CHS Ltd,650,94.3,Western Suburbs,Ready to move,Resale
38593,3,Apartment,Sheth Vasant Oasis,1113,370.0,Central Mumbai,Ready to move,Resale
38594,1,Apartment,Vishesh Balaji Symphony,625,53.0,Navi Mumbai & Beyond,Ready to move,Resale
38595,2,Apartment,Rite Aspire,620,175.0,Western Suburbs,Ready to move,Resale
38596,4,Apartment,DLH The Park Residences Phase 1,3000,900.0,Central Mumbai,Ready to move,New
38597,2,Apartment,Reputed Builder Orchid Complex Gundecha,975,155.0,Western Suburbs,Ready to move,Unknown
38599,2,Apartment,K Raheja Palm Court,950,190.0,Western Suburbs,Ready to move,Resale
38601,1,Apartment,Reputed Builder Pathik,620,85.0,Western Suburbs,Ready to move,Unknown
38602,1,Apartment,Bhoomi Acres,750,66.5,Outskirts,Ready to move,Resale
38603,2,Apartment,Rosa Gardenia,770,80.0,Outskirts,Ready to move,Resale
38604,1,Apartment,Rajhans Rajhans Kshitij Iris Wing E F G,650,45.0,Navi Mumbai & Beyond,Ready to move,Resale
38608,1,Apartment,Aristo Lloyds Estate,700,135.0,Central Mumbai,Ready to move,Resale
38609,2,Apartment,RNA NG Eclat,1010,260.0,Central Mumbai,Ready to move,Unknown
38613,4,Apartment,Lucent Fressia Ranibello,2225,276.0,Western Suburbs,Ready to move,Unknown
38614,3,Apartment,RNA NG NG Suncity Phase II,1250,185.0,Western Suburbs,Ready to move,Unknown
38616,2,Apartment,Sea Gundecha Trillium,1400,215.0,Western Suburbs,Ready to move,Unknown
38617,3,Apartment,Rizvi Oak,1800,221.0,Western Suburbs,Ready to move,Unknown
38620,1,Apartment,RNA NG Suncity Phase 1,585,77.0,Western Suburbs,Ready to move,Unknown
38621,2,Apartment,Jainam Mit Niketan,950,155.0,Western Suburbs,Ready to move,Unknown
38622,2,Apartment,Kanakia Samarpan,1004,162.0,Western Suburbs,Ready to move,Unknown
38623,1,Apartment,Kanakia Sanskruti,600,87.0,Western Suburbs,Ready to move,Unknown
38624,3,Apartment,Gokul Videocon Tower,1700,221.0,Western Suburbs,Ready to move,Unknown
38625,3,Apartment,Sheth Vasant Pride,1790,237.0,Western Suburbs,Ready to move,Unknown
38626,3,Apartment,Rosa Gardenia,990,120.0,Outskirts,Ready to move,Resale
38627,3,Apartment,Rosa Gardenia,990,114.99999999999999,Outskirts,Ready to move,Resale
38628,1,Apartment,Bhoomi Acres,520,42.0,Outskirts,Ready to move,Resale
38629,3,Apartment,Vishesh Balaji Symphony ,1296,100.0,Navi Mumbai & Beyond,Ready to move,New
38630,1,Apartment,Reputed Builder Ashiana CHS,650,94.0,Navi Mumbai & Beyond,Ready to move,Resale
38642,1,Apartment,Reputed Builder Dolphin Platinum,655,55.0,Eastern Suburbs,Ready to move,Resale
38643,1,Apartment,Cosmos Orchid,645,54.9,Outskirts,Ready to move,Resale
